timestamp_received,hr,sensor_contact,rr,ee_status,rr_interval,rr_hr,hrv_uint8
2024-07-11 16:03:13.626304,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:14.030872,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:14.391503,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:14.751537,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:15.112651,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:15.426684,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:15.801466,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:16.206823,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:16.566338,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:16.926122,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:17.286235,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:17.615878,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:18.021825,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:18.381443,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:18.741516,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:19.056480,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:19.461613,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:19.821529,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:20.181861,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:20.541087,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:20.870835,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:21.276267,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:21.591708,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:21.996433,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:22.356555,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:22.716729,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:23.046487,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:23.451486,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:23.811415,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:24.171220,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:24.531822,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:24.891300,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:25.251600,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:25.611198,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:25.971486,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:26.301305,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:26.706110,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:27.066813,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:27.426982,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:27.786506,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:28.146820,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:28.476928,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:28.881515,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:29.241732,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:29.601466,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:29.961217,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:30.320972,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:30.681398,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:31.041688,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:31.401720,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:31.731855,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:32.136754,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:32.496311,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:32.856514,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:33.215956,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:33.576634,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:33.906703,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:34.311772,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:34.671961,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:35.031358,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:35.390857,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:35.751546,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:36.110906,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:36.471248,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:36.831473,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:37.161239,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:37.565987,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:37.926357,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:38.286201,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:38.646592,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:39.006140,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:39.336585,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:39.695888,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:40.101335,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:40.461031,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:40.821576,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:41.196495,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:41.496439,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:41.901609,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:42.261787,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:42.591841,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:42.996159,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:43.355840,165,Sensor contact not supported,[366],False,True,[163],True
2024-07-11 16:03:43.716140,166,Sensor contact not supported,[358],False,True,[167],True
2024-07-11 16:03:44.076245,166,Sensor contact not supported,[358],False,True,[167],True
